2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:24:43 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 4:25:34 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-26 7:08:54 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
2018-10-30 3:16:30 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 4:43:02 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 4:43:08 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 6:41:27 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 8:03:45 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:04:58 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:05:07 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:05:15 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:05:22 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 8:05:25 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:16:05 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-30 8:22:02 - PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/shoppy/upload/system/library/template/Twig/Environment.php(403) : eval()'d code on line 44
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
2018-10-30 8:36:50 - PHP Notice:  Undefined index: status in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/catalog/category.php on line 215
